type,name,flavor,effect,weight,price,requirement,availability
hilt,Simple Hilt,"A simple sword hilt. Nothing special, really.",One-handed,0.2,8,,5
hilt,Balanced Hilt,A simple sword hilt. Very versatile.,One-handed; +5 to combat rolls,0.2,18,,3
hilt,Push Hilt,"A hilt vertical to the blade. Biomechanically inferior to a normal hilt in terms of reach and leverage, yet still preferred by some.",One-handed; weapon uses Melee Combat Training (Striking) instead,0.1,18,,3
hilt,Duelist Hilt,"An offensively minded hilt at a slight tilt, made to make disarming an opponent much easier.",One-handed; +15 to disarms,0.2,18,,3
hilt,Caged Hilt,"Shielding the sword wielding hand in some way is an old idea but, like many old ideas, still holds merit this day, so this handle was fitted with a protective basket.",One-handed; Disarming the wielder is at a -20; The wielding hand (location: arm) has +3 armor,0.4,18,,3
hilt,Ergonomic Hilt,A handle fitting the wielder's hand very closely and therefore allowing the user to get a much better feel for the weapon's point.,One-handed; Binding is twice as effective.,0.2,18,,3
hilt,Simple Long Hilt,A generic two-handed sword hilt offering more leverage than a one-handed hilt.,Two-handed; +5 to combat rolls,0.3,18,,3
hilt,Giant Hilt,A massive sword hilt. This has no utility for humans and exists more for smiths to boast.,Oversized,3,35,,2
shaft,Short Shaft,"A generic short shaft that can build the basis for a spear, hammer or axe.","One-handed; +10 to attacks, -10 to defense",0.3,12,,5
shaft,Long Shaft,A shaft perfect for long spears.,"Two-handed; +10 to attacks, -10 to defense",0.5,12,,5
shaft,Twin Shaft,A double-ended spear shaft allowing for two heads to be mounted. Not as effective individually but some people like the versatility.,Two-handed; allows to add a second weapon point,0.5,18,,3
shaft,Rifle,"A weapon mount for the tip of a gun. While a little bit outdated, making an improvised spear can be much more effective than using the knife on its own.",Two-handed; -5 to both melee combat rolls and aim actions with the rifle,-,-/-,,
blade,No Blade,Generally speaking a blade gives great advantages. Sometimes however a blade is simply not available but a stick is still a massive upgrade over fists.,"The weapon becomes a simple, primitive, generally quite short blunt instrument.",0,0,,
blade,Knife Blade,"Short, stiff blade. Good penetration, can cut if necessary.",Inconspicuous (when put on a one-handed hilt),0.2,30,,5
blade,Sword Blade,A long blade that cuts and stabs well.,+3 damage,0.9,35,,4
blade,Sword Breaker,A knife blade with two offshoots to make parrying easier.,Protective,0.2,40,,4
blade,Sword Whip,A sword blade that can transform into a whip on command., Can freely once per combat round swap between a \emph{Sword Blade} and a \emph{Thorn Whip}. It fumbles on any roll of 96+. ,1.1,40,,3
blade,Inverse Blade,A curved sword blade with its edge on the inside. Edge alignment is more difficult but cuts become more devastating.,Add Dex to melee damage bonus calculation,0.9,40,,3
blade,Plasma Cutter,A knife-sized blade consisting of finely shaped plasma. Cuts through heat much more than force and thereby is easier to use by weaker people.,+6 damage; halve Melee Damage Bonus,0.6,40,,3
blade,Chain Blade,"A high-power chainsaw functioning as a sword blade. Why someone invented this, no one knows.",Tearing,1.2,40,,3
blade,Mono Blade,"Advertised as a near mono-molecular edge, this is the sharpest knife blade built yet.",Piercing,1,40,,3
blade,Sickle Blade,An oddly shaped blade that - while having rather short effective range - is incredibly hard to fight against.,parries of 86+ against this weapon always fail,1,40,,3
whip,Bull Whip,"Leather, woven to a rope, making a bad but dirt cheap weapon.",Flexible,0.7,25,,5
whip,Thorn Whip,Small thorns along the whip increase the damage against tissue but even thinner armor or thicker clothing will stop the weapon.,"Flexible, Tearing",0.6,40,,4
whip,Shock Whip,A difficult piece of equipment to create: coils create a strong electric field while staying flexible enough to whip around and not frying itself.,"Flexible, Stun (0)",0.8,40,,3
head,No Head,"While a designated weapon point is generally superior to none, no weapon head is superior to no weapon.","The weapon becomes a simple, primitive club.",0,0,,
head,Hammer Head,"A blunt implement originally designed as a tool, later used in a refined form to defeat armor.",Trauma,0.8,30,,5
head,Telescoping Baton,A blunt instrument that can be reduced to the size of the hilt.,Inconspicuous (on one-handed hilts),0.8,35,,4
head,Axe Head,A very top heavy blade. Good at splitting more so than cutting.,+3 damage,0.7,35,,5
head,Pick Head,The head on a war pick is designed to defeat armor by breaking through weaker spots. Still works good today.,Piercing,0.7,40,,3
head,Spiked Head,Be it spiked mauls or barbed wire around a stick - damage to tissue will be significant.,Tearing,0.8,40,,4
core,Cup Holder,"A cup holder for your weapon. Why? No reason, really.",Adds a cup holder,0.1,5,,2
core,Bipod,Legend has it that bipods on knives allow stabbing helicopters to death.,+2 to \emph{Intimidation} if the weapon is visible,0.8,5,,1
core,Dripper,Stiletto knives delivering toxins are as infamous as they are rare. However some shady individuals do use such weaponry.,Adds an injector to the weapon the applies a prepared dose of an injection type chemical to the target on hit.,0.7,350,Blade,3
core,Shock Wire,"An energy source is added inside the weapon, electrifying it. On an already electrical weapon it is possible to direct the electrical field in a manner that will disrupt energy shielding.","Stun (2); If the weapon already has Stun, it also gains Disrupt.",0.8,380,,3
core,EMP Field,Coils within the weapon emit an electromagnetic field strong enough to interrupt electronic devices.,"When activated as a free action, the weapon gains \emph{EMP} this round. Takes a small fuel cell and 8 actions to recharge.",0.8,420,,2
core,Shotgun,A single shot 12gauge launcher attached to a hammerhead. It might as well be an improvised explosive device and is as dangerous for the target as for the user and weapon.,"Add a single-shot shotgun to the head, increasing damage by 2D10 for one hit. That hit can only be a single or sure strike. Takes 5 actions to reload.",0.6,360,Hammer,3
core,Splitter Force Field Generator,"Lovingly dubbed \emph{Ripper Field} by mobsters, this projected force field tears at otherwise stable matter, making it very easy to cut through tough material. The field itself is not very stable however and can only be kept alive for a few seconds.","When activated as a free action, the weapon gains +4 AP for 4 rounds. Takes a small fuel cell and 8 actions to recharge.",0.8,420,Blade,2
core,IED,"An IED on a stick, what do you expect? Quite dangerous, quite destructive.","The weapon gains \emph{Improvised}. An attack with this weapon causes an explosion equal to a 40mm HE grenade, generally destroying the weapon.\\ If the target wears an active PES, only he is hit and the damage is doubled.",0.2,30,,4
core,Rocket Booster,"Everyone understands that a faster weapon point is more destructive. Since too high speeds make edge alignment and controlling the weapon one-handed nearly impossible, it's only safe to use on large blunt weapons.",Allows the wielder to forego a second action to gain D10 additional damage.,1.1,350,Two-handed axe or hammer,3
core,Thunder Field,A massive repulsor field - normally used to block mortar fire - is strapped to a club or hammer for some reason. It now lacks precision and battery life but makes up for it by causing additional work for janitors.,"When activated as a free action, any target hit and possible targets up to one meter removed are thrown 3D10 meters away from the wielder, reduced by 1 meter per 50kg it weighs. Takes a small fuel cell and 8 actions to reload.",3.2,380,Two-handed blunt weapon,3
